title,deweyClass
"Bible gender sexuality reframing the churchs debate on same sex relationships",241.664
"Gay and Gaia ethics ecology and the erotic",241.691
"Word is out the Bible reclaimed for lesbians and gay men",242.6
"Conversions two family stories from the Reformation and modern America",248.24092
"Walk on life loss trust and other realities",248.4
"Messy grace how a pastor with gay parents learned to love others without sacrificing conviction",248.4
"Coming out of homo sexuality new freedom for men women",248.8
"Worth it overcome your fears and embrace the life you were made for",248.80866
"Queerfully and wonderfully made a guide for LGBTQ Christian teens",248.83086
"Washed and waiting reflections on Christian faithfulness and homosexuality",248.84086
"Bulletproof faith a spiritual survival guide for gay and lesbian Christians",248.84086
"Single gay Christian a personal journey of faith and sexual identity",248.84086
"Gay girl good God the story of who I was and who God has always been",248.843
"When children come out a guide for Christian parents",248.845
Joy,248.86
"True inclusion creating communities of radical embrace",253
"Gay priests",253.2
"Homosexuality in the priesthood and the religious life",253.2
"Counseling and homosexuality",253.5
"Counseling the homosexual",253.5088
"Lesbian nuns breaking silence",255.90088
"Changing our mind definitive 3rd edition of the landmark call for inclusion of LGBTQ Christians with response to critics",259.08664
"Letters to a young gay Christian",259.08664
"Coming out within stages of spiritual awakening for lesbians and gay men",259.08664
"church and the homosexual",261.6
"Gay rights and the Mormon Church intended actions unintended consequences",261.7
"criminalization of Christianity",261.72097
"United States of grace a memoir of homelessness addiction incarceration and hope",261.83
"One nation under God",261.83
"Sodoma poder y escÃƒÂ¡ndalo en el Vaticano",261.8327
"Male and female Christian approaches to sexuality",261.8341
"Love won out how Gods love helped two people leave homosexuality and find each other",261.83556
"OtherWise Christian a guidebook for transgender liberation",261.8357
"Letter to My Congregation an evangelical pastors path to embracing people who are gay lesbian and transgender in the company of Jesus",261.8357
"Space at the table conversations between an evangelical theologian and his gay son",261.8357
"theology of gay and lesbian inclusion love letters to the church",261.83576
"silence of Sodom homosexuality in modern Catholicism",261.83576
"Torn rescuing the Gospel from the gays vs Christians debate",261.83576
"New Testament and homosexuality contextual background for contemporary debate",261.83576
"Oriented to faith transforming the conflict over gay relationships",261.83576
"truth comes out",261.83576
"Outlove a queer Christian survival story",261.83576
"Love is an orientation elevating the conversation with the gay community",261.83576
"Living in a gray world a Christian teens guide to understanding homosexuality",261.83576
"Prayer warriors by Stuart Howell Miller",261.83576
"This is my body hearing the theology of transgender Christians",261.83576
"Shes my dad a fathers transition and a sons redemption",261.83576
"Homosexuality contemporary claims examined in light of the Bible and other ancient literature and law",261.83576
"Why I stayed the choices I made in my darkest hour",261.83576
"God vs gay the religious case for equality",261.83576
"One nation under God",261.83576
"Generous spaciousness responding to gay Christians in the church",261.83576
"peace seeker one womans battle in the churchs war on homosexuality",261.83576
"More than welcome learning to embrace gay lesbian bisexual and transgendered persons in the church",261.83576
"Homosexuality science and the plain sense of scripture",261.83576
"Coming out as sacrament",261.83576
"Not afraid to change the remarkable story of how one man overcame homosexuality",261.83576
"Gay conversations with God straight talk on fanatics fags and the God who loves us all",261.83576
"Loving homosexuals as Jesus would a fresh Christian approach",261.83576
"To drink from the silver cup from faith through exile and beyond",261.83576
"Congregations in conflict the battle over homosexuality in nine churches",261.83576
"queer God",261.83576
"Reforming Sodom Protestants and the rise of gay rights",261.83576
"People to be loved why homosexuality is not just an issue",261.83576
"Hearts minds talking to Christians about homosexuality",261.83576
"Homosexuality the Catholic Church clear answers to difficult questions",261.83576
"church and the homosexual",261.83576
"Does Jesus really love me a gay Christians pilgrimage in search of God in America",261.83576
"Coming out young and faithful",261.83576
"Faithful conversation Christian perspectives on homosexuality",261.83576
"Loving my LGBT neighbor being friends in grace truth",261.83576
"Know my name a gay liberation theology",261.83576
"Beyond rejection the Church homosexuality and hope",261.83576
"Our tribe queer folks God Jesus and the Bible",261.83576
"Scripture ethics and the possibility of same sex relationships",261.83576
"Stranger at the gate to be gay and Christian in America",261.83576
"strong delusion",261.83576
"Freedom glorious freedom the spiritual journey to the fullness of life for gays lesbians and everybody else",261.83576
"antigay agenda orthodox vision and the Christian Right",261.83576
"Us versus us the untold story of religion and the LGBT community",261.83576
"Same sex partnerships a Christian perspective",261.83576
"Gay rights or wrongs a Christians guide to homosexual issues and ministry",261.83576
"God and the gay Christian the biblical case in support of same sex relationships",261.83576
"Emerging gender identities understanding the diverse experiences of todays youth",261.83576
"Out of a far country a gay sons journey to God a broken mothers search for hope",261.83576
"What the Bible really says about homosexuality",261.83576
"More than a monologue sexual diversity and the Catholic Church Volume I Voices of our times",261.83576
"whosoever church welcoming lesbians and gay men into African American congregations",261.83576
"Coming out through fire surviving the trauma of homophobia",261.83576
"We were baptized too claiming Gods grace for lesbians and gays",261.83576
"work of a gay college chaplain becoming ourselves in the company of others",261.83576
"church at war Anglicans and homosexuality",261.83576
"Anything but straight unmasking the scandals and lies behind the ex gay myth",261.83577
"act of love",261.83581
"Gifted by otherness gay and lesbian Christians in the church",261.93576
"En el nombre del Padre depredadores sexuales en la Iglesia",262.142
"Take the young stranger by the hand same sex relations and the YMCA",267.3973
"Camp out",270.08664
"Outside the lines how embracing queerness will transform your faith",270.08664
"Still Stace my gay Christian coming of age story",270.092
"Both feet firmly planted in midair my spiritual journey",271.5302
"Wrestling with the angel faith and religion in the lives of gay men",277.3082
"Recruiting young love how Christians talk about homosexuality",277.3082
"Waiting for the call from preachers daughter to lesbian mom",277.3082
"Ferocious romance what my encounters with the right taught me about sex God and fury",277.30829
"Transforming the Bible and the lives of transgender Christians",277.3083
"My exodus from fear to grace",277.3083
"gay preachers wife how my gay husband deconstructed my life and reconstructed my faith",277.3083
"Refocusing my family coming out being cast out and discovering the true love of God",277.3083
"Unashamed a coming out guide for LGBTQ Christians",277.3083
"Religion gone bad the hidden dangers of the Christian right",277.3083
"Building a bridge how the Catholic Church and the LGBT community can enter into a relationship of respect compassion and sensitivity",282.08664
"Gay and Catholic accepting my sexuality finding community living my faith",282.08664
"Since my last confession a gay Catholic memoir",282.08664
"Vows of silence the abuse of power in the papacy of John Paul II",282.09049
"In the closet of The Vatican power homosexuality hypocrisy",282.0905
"In the margins a transgender mans journey with scripture",282.092
"Hidden reflections on gay life AIDS and spiritual desire",282.092
"Saint of 9 11 the true story of Father Mychal Judge",282.092
"Confessions of a gay priest a memoir of sex love abuse and scandal in the Catholic seminary",282.092
"Acts of faith acts of love gay Catholic autobiographies as sacred texts",282.73086
"In the eye of the storm swept to the center by God",283.092
"Escaping Gods closet the revelations of a queer priest",283.092
"Love free or die",283.092
"Going to heaven the life and election of Bishop Gene Robinson",283.092
"Gay priest an inner journey",283.3
"Uncommon calling a gay mans struggle to serve the Church",285.13709
"Defrocked how a fathers act of love shook the United Methodist Church",287.092
"Adams gift a memoir of a pastors calling to defy the churchs persecution of lesbians and gays",287.6092
"Saving Alex when I was fifteen I told my Mormon parents I was gay and thats when my nightmare began",289.3092
"8 The Mormon propoition equality for some",289.3794
"Blue windows a christian science childhood",289.5092
"Heretic a memoir",289.95092
"Cassells encyclopedia of queer myth symbol and spirit gay lesbian bisexual and transgender lore",291.13086
"Love the sin sexual regulation and the limits of religious tolerance",291.17835
"homophobic healer a primer for gays lesbians and the families and friends who love them",291.17835
"Gay perspective things our homosexuality tells us about the nature of God and the universe",291.17835
"Gay spirituality the role of gay identity in the transformation of human consciousness",291.17835
"Coming out spiritually the next step",291.17835
"Blossom of bone reclaiming the connections between homoeroticism and the sacred",291.40866
"essential gay mystics",291.42208
"Gay spirit warrior an empowerment workbook for men who love men",291.44086
"Lovers legends the gay Greek myths",292.17825
"Dating the Greek gods empowering spiritual messages on sex and love creativity and wisdom",292.2113
"Queer Dharma voices of gay Buddhists",294.30866
"Radical Dharma talking race love and liberation",294.3089
"queer dharma yoga and meditations for liberation",294.3444
"return of Sarahs daughters",296.08
"Balancing on the mechitza transgender in Jewish community",296.0866
"rainbow thread an anthology of queer Jewish texts from the first century to 1969",296.08664
"Twice blessed on being lesbian gay and Jewish",296.08664
"Like bread on the seder plate Jewish lesbians and the transformation of tradition",296.08664
"soul of the stranger reading God and Torah from a transgender perspective",296.30867
"Wrestling with God and men homosexuality in the Jewish tradition",296.366
"passionate Torah sex and Judaism",296.366
"Keep your wives away from them Orthodox women unorthodox desires an anthology",296.366
"choosing a rabbis journey from silent nights to high holy days",296.61086
"Becoming Eve my journey from ultra Orthodox rabbi to transgender woman",296.8332
"Uncovered how I left Hasidic life and finally came home a memoir",296.8332
"sinner in Mecca",297.0811
"Living out Islam voices of gay lesbian and transgender Muslims",297.08664
"sinner in Mecca a gay Muslims Hajj of defiance",297.092
"Homosexuality in Islam critical reflection on gay lesbian and transgender Muslims",297.566
"gay Wicca book",299
"Queering Black Atlantic religions transcorporeality in CandomblÃƒÂ© SanterÃƒÂ­a and Vodou",299.67
"Perfectly clear escaping Scientology and fighting for the woman I love",299.93609
"Margaret Mead and Ruth Benedict the kinship of women",301.0922
"Guardians of the flutes idioms of masculinity",301.21
"States of desire travels in gay America",301.4157
"Homosexuals in history a study of ambivalence in society literature and the arts",301.4157
"Christianity social tolerance and homosexuality gay people in Western Europe from the beginning of the Christian era to the fourteenth century",301.4157
"Men loving men a gay sex guide and consciousness book",301.4157
"Homosexuality in perspective",301.4157
"family matter a parents guide to homosexuality",301.427
"Columbia reader on lesbians and gay men in media society and politics",302.23086
"Navigating differences friendships between gay and straight men",302.34081
"Hite report on women loving women",302.34082
"Creep a life a theory an apology",302.54
"Among the bloodpeople politics and flesh",303.372
"Sole journey",303.61
"Underflows queer trans ecologies and river justice",304.2082
"science of desire the search for the gay gene and the biology of behavior",304.5
"Race class and gender an anthology",305
"Schools out gay lesbian youth",305.23
"Revolutionary voices a multicultural queer youth anthology",305.235
"Joining the tribe growing up gay and lesbian in the 90s",305.235
"Being different lambda youths speak out",305.235
"journey out a guide for and about lesbian gay and bisexual teens",305.235
"In your face stories from the lives of queer youth",305.235
"new gay teenager",305.235
"Growing up gay in America informative and practical advice for teen guys questioning their sexuality and growing up gay",305.235
"Teens gay issues",305.235
"Free your mind the book for gay lesbian and bisexual youth and their allies",305.235
"Always my child a parents guide to understanding your gay lesbian bisexual transgendered or questioning son or daughter",305.235
"How I learned to snap a small town coming out and coming of age story",305.235
"awesome autistic guide for trans teens",305.23508
"Gay lesbian youth",305.23508
"shared heart portraits and stories celebrating lesbian gay and bisexual young people",305.23508
"and then I became gay young mens stories",305.23508
"Passages of pride lesbian and gay youth come of age",305.23508
"Bad kid a memoir",305.23508
"Gay men at mid life age before beauty",305.244
"Midlife lesbian relationships friends lovers children and parents",305.244
"Golden men the power of gay midlife",305.244
"Fashionably late gay bi trans men who came out later in life",305.244
"Lesbian epiphanies women coming out in later life",305.244
"Are you ready the gay mans guide to thriving at midlife",305.24408
"gay mans guide to growing older",305.26
"Gay old girls",305.26
"new old me my late life reinvention",305.262
"Sex gender biology in a social world",305.3
"house for everyone a story to help children learn about gender identity and gender expression",305.3
"gender wheel",305.3
"Transgender warriors making history from Joan of Arc to Dennis Rodman",305.3
"Growing up trans inside the struggles and choices facing transgender kids and their families",305.3
"Gender born gender made raising healthy gender nonconforming children",305.3
"gender identity workbook for kids a guide to exploring who you are",305.3
"nearest exit may be behind you",305.3
"Gender outlaw on men women and the rest of us",305.3
"Little girl",305.3
"Is gender fluid a primer for the 21st century",305.3
"Gendernauts a journey through shifting identities",305.3
Heaven,305.3
"end of gender debunking the myths about sex and identity in our society",305.3
"Rethinking sexism gender and sexuality",305.3071
"Two spirit people Native American gender identity sexuality and spirituality",305.30899
"Changing ones third and fourth genders in Native North America",305.30899
"Transtopia in the Sinophone Pacific",305.30951
"best little boy in the world",305.30966
"Nonbinary gender identities history culture resources",305.30973
"rules do not apply a memoir",305.30973
"Fairest a memoir",305.30973
"Kings queens in betweens",305.30977
"Man alive a primer of mens issues",305.32
"Ballot measure 9",305.38
"American fabulous a portait of Jeffrey Strouth",305.38
"Coming up from the down low the journey to acceptance healing and honest love",305.38896
"Beyond the down low sex lies and denial in black America",305.38896
"Looking for Leroy illegible black masculinities",305.38896
"On the down low a journey into the lives of straight Black men who sleep with men",305.38896
"De los otros intimacy and homosexuality among Mexican men",305.38966
"Jeb and Dash a diary of gay life 1918 1945",305.38966
"Prayers for Bobby a mothers coming to terms with the suicide of her gay son",305.38966
"inheritance of shame a memoir",305.38966
"You dont have to be gay hope and freedom for males struggling with homosexuality or for those who know of someone who is",305.38966
"Not like other boys growing up gay a mother and son look back",305.38966
"Rural gays and lesbians building on the strengths of communities",305.38966
"burning library essays",305.38966
"Scandal infamous gay controversies of the twentieth century",305.38966
"Men like that a southern queer history",305.38966
"Heartlands a gay mans odyssey across America",305.38966
"los otros intimacy and homosexuality among Mexican men",305.38966
"Gay planet all things for all gay men",305.38966
"Gay New York gender urban culture and the makings of the gay male world 1890 1940",305.38966
"Gay warrior transforming betrayal into wisdom",305.38966
"place at the table the gay individual in American society",305.38966
"10 smart things gay men can do to improve their lives",305.38966
"One of the children gay black men in Harlem",305.38966
"Seans legacy an AIDS awakening",305.38966
"Growing up before Stonewall life stories of some gay men",305.38966
"Generation queer a gay mans quest for hope love and justice",305.38966
"Midlife queer autobiography of a decade 1971 1981",305.38966
"Farm boys lives of gay men from the rural Midwest",305.38966
"Kosher meat",305.38966
"soul beneath the skin the unseen hearts and habits of gay men",305.38966
Vito,305.38966
"other side of silence mens lives and gay identities a twentieth century history",305.38966
"boy I once knew what a teacher learned from her student",305.38966
"In or out gay and straight stars talk about themselves and each other",305.38966
"rise and fall of gay culture",305.38966
"Bearing witness Gay Mens Health Crisis and the politics of AIDS",305.38966
"Coming out an act of love",305.38966
"Cassandro the exotico",305.38966
"Hola Papi how to come out in a Walmart parking lot and other life lessons",305.38966
"elusive embrace desire and the riddle of identity",305.38966
"Love undetectable notes on friendship sex and survival",305.38966
"Reclaiming your life the gay mans guide to love self acceptance and trust",305.38966
"Found tribe",305.38966
"Becoming a man half a life story",305.38966
"Between the acts lives of homosexual men 1885 1967",305.38966
"Broken fever reflections of gay boyhood",305.38966
"hurry up song a memoir of losing my brother",305.38966
"Widescreen dreams growing up gay at the movies",305.38966
"Friends of Dorothy why gay boys and gay men love The Wizard of Oz",305.38966
"best little boy in the world grows up",305.38966
"best little boy in the world",305.38966
"man I might become gay men write about their fathers",305.38966
"secret lives of married men",305.38966
"Gay New York gender urban culture and the making of the gay male world 1890 1940",305.38966
"memoir of no one in particular",305.38966
"Finding the boyfriend within",305.38966
"Gay soul finding the heart of gay spirit and nature with sixteen writers healers teachers and visionaries",305.38966
"Black gay man essays",305.38966
"male couples guide finding a man making a home building a life",305.38966
"Gay roots Volume 2 an anthology of gay history sex politics and culture",305.38966
"Boyfriend 101 a gay guys guide to dating romance and finding true love",305.38966
"I Pierre Seel deported homosexual a memoir of Nazi terror",305.38966
"Gay men at the millennium sex spirit community",305.38966
"mentor a memoir of friendship and gay identity",305.38966
"empress is a man stories from the life of JosÃ¢Â€Âš Sarria",305.38966
"queer geography journeys toward a sexual self",305.38966
"Taking liberties gay mens essays on politics culture and sex",305.38966
"corporate closet the professional lives of gay men in America",305.38966
"Gay body a journey through shadow to self",305.38966
"Dancing after the whirlwind feminist reflection on sex denial and spiritual transformation",305.42
"Tapestries of life womens work womens consciousness and the meaning of daily experience",305.42
"Sexual politics",305.42
"Excluded making feminist and queer movements more inclusive",305.42
"Willful virgin essays in feminism 1976 1992",305.42
"woman centered economy ideals reality and the space in between",305.42
"truth that never hurts writings on race gender and freedom",305.42
"Revolution she wrote",305.4201
"Jewish radical feminism voices from the womens liberation movement",305.42089
"Tales of the Lavender Menace a memoir of liberation",305.42092
"Combahee River Collective statement Black feminist organizing in the seventies and eighties",305.42097
"issue is power essays on women Jews violence and resistance",305.42097
"Naked in the promised land",305.48892
"On the up and up a survival guide for women living with men on the down low",305.48896
"Unapologetic a Black queer and feminist mandate for radical movements",305.48896
"Off and running",305.48896
"Telling moments autobiographical lesbian short stories",305.48966
"No more secrets violence in lesbian relationships",305.48966
"Femme feminists lesbians and bad girls",305.48966
"Dyke life from growing up to growing old a celebration of the lesbian experience",305.48966
"S HE",305.48966
"Every woman Ive ever loved lesbian writers on their mothers",305.48966
"Lesbian couples a guide to creating healthy relationships",305.48966
"Living with pride Ruth Ellis 100",305.48966
"Boots of leather slippers of gold the history of a lesbian community",305.48966
"Out of the class closet lesbians speak",305.48966
"Passions between women British lesbian culture 1668 1801",305.48966
"Homestretch chasing the American dyke dream",305.48966
"My dangerous desires a queer girl dreaming her way home",305.48966
"To believe in women what lesbians have done for America a history",305.48966
"lesbian love companion how to survive everything from the heartthrob to heartbreak",305.48966
"Lesbians in committed relationships extraordinary couples ordinary lives",305.48966
"joy of life",305.48966
"Render me gender me lesbians talk sex class color nation studmuffins",305.48966
"When we were outlaws a memoir of love and revolution",305.48966
"Dykes to watch out for the sequel added attraction Serial monogamy a documentary",305.48966
"Women on the verge lesbian tales of power and play",305.48966
"Surviving madness a therapists own story",305.48966
"art of meeting women a guide for gay women how to meet the women you want to meet",305.48966
"Femme butch new considerations of the way we want to go",305.48966
"Between us a legacy of lesbian love letters",305.48966
"Lesbians levis and lipstick the meaning of beauty in our lives",305.48966
"Weeding at dawn a lesbian country life",305.48966
"Female masculinity",305.48966
"Born to belonging writings on spirit and justice",305.48966
"This has always been a war the radicalization of a working class queer",305.562
"Modern homosexualities fragments of lesbian and gay experiences",305.590664
"Prelude to victory the 1993 March on Washington Video",305.6
"simple matter of justice",305.6
"Marching for freedom",305.6
"Weathering change gays and lesbians Christian conservatives and everyday hostilities",305.6
"Trembling before G d",305.696
"Queer indigenous studies critical interventions in theory politics and literature",305.8
"gospel of Eureka",305.8
"Secret places my life in New York and New Guinea",305.80092
"Indian blood HIV and colonial trauma in San Franciscos two spirit community",305.80097
"Memoir of a race traitor fighting racism in the American South",305.80097
"Unfollow me essays on complicity",305.80097
breaks,305.80097
"bear handbook a comprehensive guide for those who are husky hairy and homosexual and those who loveem",305.88966
"Gypsy boy my life in the secret world of the Romany Gypsies",305.89149
"Gypsy boy on the run my escape from a life among the Romany gypsies",305.89149
"Harley Loco hard living hair and post punk from the Middle East to the Lower East Side",305.89275
"Black is black aint a personal journey through black identity",305.896
"Black girl dangerous on race queerness class and gender",305.89607
"Dangerous liaisons Blacks gays and the struggle for equality",305.89607
"Black period on personhood race and origin",305.89669
"When they tell you to be good a memoir",305.89697
"All Gods children",305.9
"West Coast crones",305.9
"Straight from the heart",305.9
"Paris is burning",305.9
"Tongues untied",305.9
"Fat activism a radical social movement",305.906
"Read my lips sexual subversion and the end of gender",305.9066
"Making gay history the half century fight for lesbian and gay equal rights",305.9066
"Completely queer the Gay and Lesbian encyclopedia",305.90664
"Outing yourself how to come out as lesbian or gay to your family friends and coworkers",305.90664
"greatest taboo homosexuality in Black communities",305.90664
"Impossible dance club culture and queer world making",305.90664
"Queer in America sex the media and the closets of power",305.90664
"gay metropolis 1940 1996",305.90664
"gay decades from Stonewall to the present the people and events that shaped gay lives",305.90664
"Youre not from around here are you a lesbian in small town America",305.90664
"new Civil War the struggle over civil rights for lesbians and gays",305.90664
"Readers guide to lesbian and gay studies",305.90664
"queen is dead a story of jarheads eggheads serial killers bad sex",305.90664
"Creating change sexuality public policy and civil rights",305.90664
"Queer spirits a gay mens myth book",305.90664
"Coming out under fire the history of gay men and women in World War Two",305.90664
"Outspoken role models from the lesbian and gay community",305.90664
"Improper Bostonians lesbian and gay history from the Puritans to Playland",305.90664
"Rebels rubyfruit and rhinestones queering space in the Stonewall South",305.90664
"Mosaic no 1 life stories from isolation to community oral history from the Northwest Lesbian and Gay History Museum Project",305.90664
"On the fringe gays and lesbians in politics",305.90664
"Sexual strangers gays lesbians and dilemmas of citizenship",305.90664
"Coming out of shame transforming gay and lesbian lives",305.90664
"Making history the struggle for gay and lesbian equal rights 1945 1990 an oral history",305.90664
"next step lesbians in long term recovery",305.90664
"Before Stonewall activists for gay and lesbian rights in historical context",305.90664
"Up from invisibility lesbians gay men and the media in America",305.90664
"Paragraph 175",305.90664
"Superstars twelve lesbians who changed the world",305.90664
"How to make the world a better place for gays and lesbians",305.90664
"Gay and lesbian issues a reference handbook",305.90664
"Lonely hunters an oral history of lesbian and gay southern life 1948 1968",305.90664
"Witness to revolution the Advocate reports on gay and lesbian politics 1967 1999",305.90664
"Wide open town a history of queer San Francisco to 1965",305.90664
"many faces of gay activists who are changing the nation",305.90664
"Letters to our children lesbian and gay adults speak to the new generation",305.90664
"Two teenagers in twenty writings by gay and lesbian youth",305.90664
"Soldier of the year the story of a gay American patriot",305.90664
"best of the Harvard Gay Lesbian Review",305.90664
"Out of the past",305.90664
"gay rights movement",305.90664
"stranger next door the story of a small communitys battle over sex faith and civil rights",305.90664
"Queer Jews",305.90664
"Wolf girls at Vassar lesbian and gay experiences 1930 1990",305.90664
"world turned essays on gay history politics and culture",305.90664
"Growing up gay the sorrows and joys of gay and lesbian adolescence",305.90664
"gay almanac",305.90664
"Same sex dynamics among nineteenth century Americans a Mormon example",305.90664
"Straight news gays lesbians and the news media",305.90664
"gay metropolis the landmark history of gay life in America",305.90664
"Everyday activism a handbook for lesbian gay and bisexual people and their allies",305.90664
"Whos who in contemporary gay and lesbian history from World War II to the present day",305.90664
Stonewall,305.90664
"Margaret Mead made me gay personal essays public ideas",305.90664
"gay and lesbian self esteem book a guide to loving ourselves",305.90664
"Beneath the equator cultures of desire male homosexuality and emerging gay communities in Brazil",305.90664
"Party crasher a gay Republican challenges politics as usual",305.90664
"One more river to cross Black and gay in America",305.90664
"Out in all directions the almanac of gay and lesbian America",305.90664
"Friends family true stories of gay Americas straight allies",305.90664
"Unspeakable the rise of the gay and lesbian press in America",305.90664
"Sexuality and socialism history politics and theory of LGBT liberation",305.90664
"gay 100 a ranking of the most influential gay men and lesbians past and present",305.90664
"Virtual equality the mainstreaming of gay and lesbian liberation",305.90664
"Queer son a film",305.90664
"Family a portrait of gay and lesbian America",305.90664
"Love undetectable notes on friendship sex and survival",305.90664
"Cherry Grove Fire Island sixty years in Americas first gay and lesbian town",305.90664
"Creating a place for ourselves lesbian gay and bisexual community histories",305.90664
"Identity and the case for gay rights race gender religion as analogies",305.90664
"Gay pride photographs from Stonewall to today",305.90664
"Whos who in gay and lesbian history from antiquity to World War II",305.90664
"Asian American sexualities dimensions of the gay and lesbian experience",305.90664
"crimson letter Harvard homosexuality and the shaping of American culture",305.90664
"Homosexuality opposing viewpoints",305.90664
Homos,305.90664
"Gay and lesbian rights a struggle",305.90664
"Children of Horizons how gay and lesbian teens are leading a new way out of the closet",305.90664
"Out in theory the emergence of lesbian and gay anthropology",305.90664
"Gay testaments old and new",305.90664
"Making trouble essays on gay history politics and the university",305.90664
"Were here to stay the history of Hands Off Washington and the politics of hate in Washington State",305.90664
"question of equality lesbian and gay politics in America since Stonewall",305.90664
"attack queers liberal society and the gay right",305.90664
"Gay rights",305.90664
"Growing up gay a literary anthology",305.90664
"Its not unusual a history of lesbian and gay Britain in the twentieth century",305.90664
"unfinished revolution social movement theory and the gay and lesbian movement",305.90664
"From hate crimes to human rights a tribute to Matthew Shepard",305.90664
"Growing up gay in the South race gender and journeys of the spirit",305.90664
"Historical dictionary of the gay liberation movement gay men and the quest for social justice",305.90664
"Love of friends an anthology of gay and lesbian letters to friends and lovers",305.90664
"Gay Seattle stories of exile and belonging",305.90664
"Lotus of another color an unfolding of the South Asian gay and lesbian experience",305.90664
"Homosexual rites of passage a road to visibility and validation",305.90664
"Beyond queer challenging gay left orthodoxy",305.90664
"Out for good the struggle to build a gay rights movement in America",305.90664
"queer question essays on desire and democracy",305.90664
"Now that Im out what do I do",305.90664
"Is it a choice answers to 300 of the most frequently asked questions about gay and lesbian people",305.90664
"Asylum a memoir manifesto",305.90691
"Crip times disability globalization and resistance",305.90808
"QDA a queer disability anthology",305.90808
