distinct_bib,subject
1307721,"Lesbians New York State Cherry Grove History"
1307735,"Gay men Fiction"
1308663,"Abused gay men Services for United States"
1308663,"Abused lesbians Services for United States"
1308663,"Gay couples Services for United States"
1308663,"Gay male couples Services for United States"
1308663,"Lesbian couples Services for United States"
1309797,"Gay men California San Francisco Fiction"
1311790,"Gay men United States Literary collections"
1311790,"Gays writings American"
1311790,"Homosexuality United States Literary collections"
1311790,"Lesbians United States Literary collections"
1312386,"Gay police officers United States Attitudes"
1312386,"Gay police officers United States Social conditions"
1312386,"Homosexuality United States"
1312741,"Gay men United States Fiction"
1316959,"Gay men New York State New York Fiction"
1317066,"Gays United States"
1317066,"Homosexuality United States"
1317118,"Lesbians United States Fiction"
1318380,"Gay men Fiction"
1319227,"Gay men United States Biography"
1320084,"Gays Travel"
1320211,"Gay liberation movement United States"
1320317,"Lesbians Fiction"
1320317,"Lesbians writings"
1320387,"Gay men Literary collections"
1320387,"Gay men United States"
1320387,"Gays writings"
1320387,"Homosexuality Male Literary collections"
1320387,"Homosexuality Male United States"
1320387,"Male homosexuality Literary collections"
1320387,"Male homosexuality United States"
1322965,"Gay parents Fiction"
1322965,"Lesbians Fiction"
1324498,"Gay fathers United States Fiction"
1324734,"Lesbians Arab countries Fiction"
1324734,"Lesbians New York State New York Fiction"
1324736,"Gay men Great Britain Biography"
1325664,"Gay men Washington D C Biography"
1326061,"Bisexuality Fiction"
1326064,"Gay men United States Drama"
1326093,"Gay men New Zealand Fiction"
1326143,"Bisexuality Fiction"
1327969,"African American lesbians Biography"
1327969,"Lesbians United States Biography"
1328062,"Gay men Religious life"
1328062,"Homosexuality Religious aspects"
1328253,"Homosexuality and literature"
1328253,"Lesbianism in literature"
1328470,"Gays Psychology"
1328470,"Gays Religious life"
1328519,"Bisexuality United States Longitudinal studies"
1329184,"Gay couples United States"
1329861,Lesbianism
1329861,"Lesbians Biography"
1329873,"Gay men Illinois Chicago Fiction"
1330088,"Gay men West U S Fiction"
1330090,"Gay men Washington D C Fiction"
1330096,"Gay men Great Britain Fiction"
1330100,"Lesbians United States Fiction"
1330110,"Lesbians Fiction"
1330111,"Lesbians United States Fiction"
1330116,"Lesbians United States Fiction"
1330118,"Lesbians Fiction"
1330125,"Lesbians Fiction"
1330131,"Lesbians Fiction"
1330133,"Lesbians Fiction"
1330996,"Gay men Fiction"
1331166,"Lesbian mothers"
1331852,"Lesbians Poetry"
1332129,"Gays in literature"
1332129,"Gays writings"
1332674,"Gay men United States Drama"
1333581,"Gay men Psychology"
1333581,"Homosexuality Male Psychological aspects"
1333581,"Male homosexuality Psychological aspects"
1334172,"Lesbians United States"
1334667,"Lesbians France Fiction"
1335425,"Gay men New York State Fiction"
1335782,"Gays in the military"
1335782,"Gays in the military United States"
1335782,"United States Armed Forces Gays"
1335782,"United States Armed Forces Gays Government policy"
1337669,"Gay men Italy Venice Fiction"
1338988,"Gay liberation movement United States History"
1339000,"Gay men California Los Angeles Fiction"
1339018,"Lesbians and sports"
1339316,"Lesbians Maine Portland Fiction"
1339828,Gays
1339828,Homosexuality
1339828,Lesbians
1340449,"Gay youth Hawaii Fiction"
1340859,"Lesbian couples"
1340859,"Lesbian mothers"
1340859,"Lesbians Family relationships"
1340997,"Gay men United States Drama"
1341685,"Gays Employment United States"
1341685,"Homosexuality United States"
1344182,Lesbianism
1344242,"Gay men New York State New York Drama"
1344251,"Lesbians Fiction"
1344502,"Homosexuality Fiction"
1346054,"Gays Family relationships Drama"
1346564,"Gay men United States Religious life"
1346564,"Homosexuality Religious aspects Christianity"
1346722,"Gay military personnel United States Legal status laws etc"
1346722,"Gays in the military United States Legal status laws etc"
1346722,"United States Armed Forces Gays Legal status laws etc"
1346773,"Gay men Fiction"
1346773,"Gay mens writings American"
1346773,"Homosexuality Male Fiction"
1347770,"Gays Religious life"
1347770,"Homosexuality Religious aspects Christianity"
1347772,"Gay men United States Correspondence"
1347772,"Homosexuality Male United States"
1347772,"Male homosexuality United States"
1348547,"Gay men United States Fiction"
1348548,"Gay men United States Fiction"
1348549,"Gay men United States Fiction"
1348553,"Gay men United States Fiction"
1348554,"Gay men United States Fiction"
1348787,"Church work with gays"
1348787,"Gays Pastoral counseling of"
1348787,"Homosexuality Religious aspects Christianity"
1348788,"Gay men Mental health"
1348788,"Homosexuality Male"
1348831,"Gay rights United States"
1348831,"Gays United States"
1349947,"Gay men United States Family relationships"
1349947,"Parents of gays United States"
1350677,Lesbians
1350700,"Gay men Italy Venice Fiction"
1351003,"Lesbianism in literature History 20th century"
1351003,"Lesbians Soviet Union Intellectual life"
1351003,"Lesbians writings Russian History and criticism"
1352028,"Lesbianism in motion pictures"
1352984,"Homosexuality Religious aspects Christianity"
1353033,"Gay teenagers United States Case studies Juvenile literature"
1353033,Homosexuality
1353033,"Homosexuality Juvenile literature"
1354457,"1993 March on Washington for Lesbian Gay and Bi Equal Rights and Liberation Washington D C 1993"
1354457,"Gay liberation movement Washington D C"
1355041,"African American gays California Los Angeles Fiction"
1355041,"Catholic gays California Los Angeles Fiction"
1355041,"Gay men California Los Angeles Fiction"
1355041,"Mexican American gays California Los Angeles Fiction"
1356736,"Gay teenagers United States"
1356874,"Lesbians United States Fiction"
1357673,"Gay men United States Drama"
1358600,"Lesbians United States Biography"
1358600,"Lesbians United States Literary collections"
1359607,"Gay men Fiction"
1359611,"Gay men United States Fiction"
1359777,"Gay couples"
1359854,"Gay men Intellectual life"
1359854,"Gay men Social life and customs"
1359888,"Gay men United States Fiction"
1359933,"Gay men United States"
1360001,"Gay men Belgium Flanders Fiction"
1360001,"Gay men England Fiction"
1360195,"Lesbianism United States"
1360514,"Gay men United States Fiction"
1361919,"African American gays Poetry"
1361919,"Gay men United States Poetry"
1362254,"Lesbians Illinois Chicago Literary collections"
1362641,"Church work with gays"
1362641,"Gays Pastoral counseling of"
1362641,"Homosexuality Religious aspects Christianity"
1363261,"Homosexuality Male North America"
1363261,"Male homosexuality North America"
1363302,"Gay men United States"
1363302,"Gay men United States Fiction"
1363302,"Gay mens writings American"
1364073,"Gay parents United States"
1364515,"Gay couples United States Biography"
1364515,"Gay male couples United States Biography"
1364519,"Gay men United States Poetry"
1364747,"Gay men California San Francisco Fiction"
1364747,"Lesbians California San Francisco Fiction"
1364784,"Gay men Massachusetts Boston Fiction"
1364787,"Gay men United States Fiction"
1365814,"Lesbians Wisconsin Fiction"
1365867,"Gays Religious life"
1365867,"Homosexuality Religious aspects Christianity"
1366088,"Gay men Religious life United States"
1366088,"Gay men United States Psychology"
1366088,"Gay men United States Religious life"
1366315,"Gay men Fiction"
1367411,"Gay bars Directories"
1367411,"Gay business enterprises Directories"
1367411,"Gay community Guidebooks"
1367411,"Gay men Services for Directories"
1367411,"Gay men Travel Guidebooks"
1367736,"Bisexuality Literary collections"
1367736,"Lesbians Literary collections"
1367736,"Lesbians writings American"
1367736,"Lesbians writings English"
1367736,"Lesbians writings Translations into English"
1369191,"Gay men United States Biography"
1369656,"Sex instruction for gay men Great Britain"
1371416,"Gays United States Family relationships Pictorial works"
1371416,"Gays United States Pictorial works"
1371416,"Lesbians United States Pictorial works"
1371437,"Gay athletes"
1371793,"Homosexuality Fiction"
1372588,"Gay men Biography"
1372588,"Gay men United States Biography Juvenile literature"
1372596,"Lesbians Biography"
1372596,"Lesbians United States Biography Juvenile literature"
1373838,"Lesbians California Los Angeles Fiction"
1374277,"Gay men United States Fiction"
1374277,"Gays writings American"
1374277,"Lesbians United States Fiction"
1375596,"Lesbianism Psychological aspects"
1376502,"Lesbians Washington State Seattle Fiction"
1376919,"Homosexuality Fiction"
1376919,"Homosexuality Juvenile fiction"
1378720,"Homosexuality Fiction"
1379509,"Gay men England London Fiction"
1379800,"Gay men California San Francisco Fiction"
1379971,"Lesbians California Fiction"
1381277,"Lesbian couples United States"
1382019,"Lesbians Fiction"
1382084,"Gay teachers United States Biography"
1382084,"Lesbian teachers United States Biography"
1382669,"Homosexuality Fiction"
1382684,"Gay couples United States"
1382891,"Lesbians Fiction"
1383051,"Gay men United States Fiction"
1383053,"Gay men England Fiction"
1383056,"Gay men Germany Berlin Fiction"
1383271,"Lesbianism Fiction"
1383271,"Lesbianism in art"
1385205,"Gay men Philippines Drama"
1385806,"Homosexuality in motion pictures"
1386641,"Gay musicians"
1386641,"Gays Music Discography"
1387274,"Gay men United States Biography"
1387274,"United States Armed Forces Gays"
1388789,"Gay military personnel"
1388789,"Gays in the military"
1388789,"Lesbians United States Biography"
1388789,"United States Armed Forces Gays"
1389594,"Lesbian actresses United States Interviews"
1391558,"Gays Literary collections"
1391558,"Homosexuality History"
1391558,"Homosexuality Literary collections"
1391648,"Gay men California San Francisco Literary collections"
1391648,"Gays writings American California San Francisco"
1391648,"Lesbians California San Francisco Literary collections"
1392980,"Church work with gays"
1392980,"Homosexuality Religious aspects Christianity"
1393074,"Lesbians Fiction"
1393074,"Lesbians writings American"
1393804,"Lesbians United States Fiction"
1393877,"Lesbians Drama"
1393878,Lesbians
1393878,"Lesbians United States Literary collections"
1393878,"Lesbians writings American"
1394023,"Gays Prayer books and devotions"
1394357,"Lesbians United States Economic conditions"
1394357,"Lesbians United States Social conditions"
1394452,"Bisexuality United States Drama"
1394795,"Gay men California Los Angeles Literary collections"
1394795,"Hispanic American gays California Los Angeles Literary collections"
1395555,"Lesbians Poetry"
1395555,"Lesbians writings American"
1395875,"Lesbians Fiction"
1396067,"Gay men United States Biography"
1396067,"Gay men United States Family relationships"
1396067,"Homosexuality United States Religious aspects Christianity"
1396067,"Parents of gays United States"
1396677,"Homosexuality Humor"
1396679,"African American lesbians Literary collections"
1396679,"African American lesbians Social conditions"
1396679,"Lesbians writings American"
1396930,"Gay men United States Religious life"
1396930,"Homosexuality Religious aspects"
1396930,"Homosexuality Religious aspects Christianity"
1396930,"Homosexuality Religious aspects Judaism"
1397015,"Homosexuality Psychological aspects"
1397053,"Gay men Sexual behavior"
1397336,"Gay men United States Biography"
1397377,"Gays Literary collections"
1397377,"Homosexuality Literary collections"
1397499,"Lesbians writings"
1397500,"Gay mens writings"
1398747,"Homosexuality Genetic aspects"
1398824,"Lesbians California San Francisco Fiction"
1399223,"Gay men United States Biography"
1399223,"Homosexuality Male New York State New York"
1399223,"Male homosexuality New York State New York"
1399661,"Gay men Massachusetts Provincetown Fiction"
1400477,"Lesbians Poetry"
1585746,"Jones Gayl Criticism and interpretation"
1585762,"Lesbians United States Fiction"
1585825,"Lesbians France Paris Fiction"
1585828,"Lesbians Crimes against California Northern Fiction"
1585830,"Lesbians California San Francisco Fiction"
1585835,"Lesbians California San Francisco Fiction"
1585836,"Lesbian mothers"
1585837,"African American lesbians Abuse of"
1586107,"Lesbians United States Alcohol use Miscellanea"
1586107,"Lesbians United States Drug use Miscellanea"
1586107,"Lesbians United States Miscellanea"
1586854,"Gay men Fiction"
1587068,"Gay men United States Poetry"
1587068,"Hispanic American gays Poetry"
1587701,"Gays Biography"
1587701,"Gays History"
1587998,"Gays writings History and criticism"
1587998,"Homosexuality and literature"
1587998,"Homosexuality in literature"
1588679,"Lesbians United States Fiction"
1590730,"Gay military personnel"
1590730,"Gays in the military"
1590730,"Lesbians United States"
1590730,"United States Armed Forces Gays"
1590909,"Gay men West U S Fiction"
1590994,"Gay men Family relationships United States"
1590994,"Gay men United States Family relationships"
1590994,"Gay men United States Social conditions"
1590994,"Lesbians Family relationships United States"
1590994,"Lesbians United States Family relationships"
1590994,"Lesbians United States Social conditions"
1591239,"Gays Life skills guides"
1591239,"Gays Prayer books and devotions"
1591239,"Gays Prayers and devotions"
1591239,"Homosexuality Religious aspects"
1591663,"Bisexuality Literary collections"
1591663,"Lesbianism Literary collections"
1591663,"Lesbians writings American"
1591962,"Gays in popular culture"
1591962,Lesbianism
1591989,"African American gays New York State New York Fiction"
1591989,"Gay men New York State New York Fiction"
1592800,"Gay couples United States"
1593892,"Lesbians United States Fiction"
1593893,"African American gays Fiction"
1593893,"Gay men Fiction"
1593933,"Gay men United States Fiction"
1594229,"Gays in the military"
1594234,"Lesbian actresses United States"
1594277,"Gay men United States Social life and customs Fiction"
1594382,"Gay men Wisconsin Fiction"
1594492,"Homosexuality in literature"
1594492,"Homosexuality Male"
1594492,"Homosexuality Mythology"
1594492,"Homosexuality Religious aspects"
1594492,"Male homosexuality"
1594703,"Gay liberation movement United States"
1594703,"Homosexuality United States Moral and ethical aspects"
1594923,"Gay men Literary collections"
1594923,"Gays writings American"
1594924,"Gay men Crimes against United States Fiction"
1595034,"Lesbianism Great Britain History 17th century"
1595034,"Lesbianism Great Britain History 18th century"
1595034,"Lesbians Great Britain Sexual behavior"
1595034,"Lesbians in literature Great Britain"
1595094,"Gays Employment United States"
1595094,"Gays Employment United States Handbooks manuals etc"
1595094,"Gays United States Interviews"
1595096,"Gay liberation movement United States History"
1595096,"Gay men United States Political activity"
1595096,"Gay rights United States History"
1595096,"Lesbians United States Political activity"
1595202,"Gay men France Mulhouse Biography"
1595202,"Gays Nazi persecution France Mulhouse"
1597021,"Gay men United States Diaries"
1597021,"Gay men United States Family relationships"
